ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gear System,1,1,0.21043425795011417,0.21043425795011417,0.4431376869361755,0.02493829263054482,0.21043425795011417,0.898268566395184,0.4431376869361755,0.0009481128307156656,0.546307396849188,1.0,0.5,0.001087236284840049,inf
Bit,Chuck,1,1,0.32067539111954235,0.32067539111954235,0.4617634308223659,0.027000559014695957,0.32067539111954224,0.9047989357221796,0.4617634308223659,0.000990384595446163,0.5763609263992091,1.0,0.5,0.0012281129753544864,inf
Bit,Battery,1,1,0.42537112465897153,0.42537112465897153,0.48261747340404093,0.0290631190737106,0.4253711246589716,0.917898714823276,0.48261747340404093,0.0010394011881068722,0.6057223197654777,1.0,0.5,0.000923372945344169,inf
Bit,Switch,1,1,0.40142150784619424,0.40142150784619424,0.4775214667059712,0.028789045869884324,0.40142150784619435,0.9090430019194089,0.4775214667059712,0.0010364213061643227,0.6021553174033709,1.0,0.5,0.000739470949035296,inf
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Control Circuitry,1,1,0.21961120089912067,0.21961120089912067,0.4445806146460562,0.025232692046209156,0.2196112008991207,0.9008473714696127,0.4445806146460562,0.0009540423734023505,0.5492055203721598,1.0,0.5,0.0008699825622565277,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Gear System,1,1,0.4638972830436576,0.4638972830436576,0.49128617111179423,0.030251591213539535,0.4638972830436576,0.907799494689717,0.49128617111179423,0.0010814343721337928,0.6200535573956087,1.0,0.5,0.0007436864796422543,inf
Transmission,Chuck,1,1,0.30999637514710077,0.30999637514710077,0.45982569521862726,0.02671142226520619,0.30999637514710077,0.8556225837838578,0.45982569521862726,0.0009894341739110914,0.5734167046413825,1.0,0.5,0.0005341037116142937,inf
Transmission,Battery,1,1,0.38619110925138656,0.38619110925138656,0.47438799383839003,0.028304884566816846,0.38619110925138667,0.9088904583292898,0.47438799383839003,0.0010320887083428774,0.5970080458576817,1.0,0.5,0.0009994165286653814,inf
Transmission,Switch,1,1,0.5346134923916906,0.5346134923916906,0.5089665140401342,0.032406253170244384,0.5346134923916906,0.9181035810372086,0.5089665140401342,0.0011061804658120476,0.6397606487225074,1.0,0.5,0.0006937175837261243,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Transmission,Control Circuitry,1,1,0.2733200502433154,0.2733200502433154,0.4534008657743167,0.026206567272958427,0.2733200502433154,0.8785859425885754,0.4534008657743167,0.000985257936114209,0.5654274169537581,1.0,0.5,0.0009688059804933142,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gear System,1,1,0.47093542667984434,0.47093542667984434,0.49293767282167883,0.03032972886411354,0.47093542667984434,0.9195625001497646,0.49293767282167883,0.0010874057026611153,0.6225897949908483,1.0,0.5,0.0009657921725067328,inf
Motor,Chuck,1,1,0.26333544066123515,0.26333544066123515,0.4517104209507159,0.02620826361943677,0.2633354406612351,0.8703479362150159,0.4517104209507159,0.0009947339399933508,0.5652010248431065,1.0,0.5,0.0011253757570082188,inf
Motor,Battery,1,1,0.538682317965391,0.538682317965391,0.510063789717564,0.0327499668258233,0.5386823179653911,0.920576415696383,0.510063789717564,0.001137484757430906,0.6469166030718893,1.0,0.5,0.0005524719786104508,inf
Motor,Switch,1,1,0.4260532683371152,0.4260532683371152,0.48276576755305317,0.029823756865007097,0.42605326833711515,0.9049178916214515,0.48276576755305317,0.001070378046928242,0.6142620454731207,1.0,0.5,0.0008124036076706542,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Motor,Control Circuitry,1,1,0.3802548954205428,0.3802548954205428,0.4731882206194388,0.027779979568775558,0.3802548954205428,0.9081176474418987,0.4731882206194388,0.0010256103743935938,0.5929600744311451,1.0,0.5,0.0010644484748182723,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
Electrical System,Gear System,1,1,0.4498931333215649,0.4498931333215649,0.4880642125835047,0.03002569917241921,0.44989313332156483,0.9099800829500684,0.4880642125835047,0.0010798764507409665,0.6171818998251912,1.0,0.5,0.0007604685001834821,inf
Electrical System,Chuck,1,1,0.15972963079840763,0.15972963079840763,0.43547241550743876,0.02459171423212043,0.1597296307984076,0.8673484197516039,0.43547241550743876,0.0009427789350083187,0.53426243974909,1.0,0.5,0.0006312611564734573,inf
Electrical System,Battery,1,1,0.4360503893481955,0.4360503893481955,0.48495994007046117,0.02966671270201191,0.43605038934819557,0.8997029867410447,0.48495994007046117,0.0010657491237055462,0.6132839009009922,1.0,0.5,0.0008829805791729455,inf
